crime_count_500m,violent_count_500m,PIN
48,4,9268200693
0,0,6619900290
25,1,6021501175
21,1,6021501175
24,1,6021501175
258,15,2920700040
0,0,8151600090
37,1,5100402283
42,5,3438500247
0,0,1678400130
54,0,1193000295
13,4,3438502042
22,0,0293000145
239,7,1928300965
0,0,1180003000
54,0,1972205529
230,13,3658700600
217,23,3126049409
80,5,2652501590
34,3,7410200200
43,1,4141800085
107,6,3834000865
48,7,3448001403
106,13,8850400070
112,10,6332000125
42,7,9274200065
16,0,3176600112
10,0,2726049107
128,5,1931301001
5,0,8101900055
100,6,0952002336
33,2,6413600053
2,0,0179001756
12,0,3179101010
63,13,1498301060
66,4,8901001485
33,4,7170200175
0,0,3261010020
103,6,3645100235
108,15,0299000037
12,0,9571800040
27,2,5101406025
0,0,2540800340
0,0,2333270070
94,5,0809002865
8,0,3326049054
17,0,9238900625
38,0,6169900560
94,5,3363400025
0,0,1180007316
22,0,8952900255
0,0,3623500245
45,4,6632300231
27,0,1868903570
239,18,9126100876
101,10,7518501821
123,11,3298701052
61,5,1501800120
166,14,1211000280
188,24,3904100042
105,7,2767601890
0,0,3124059036
13,0,4318200410
18,0,2487200161
107,7,2767601896
153,11,1454100380
90,7,1560100020
36,4,7890600030
82,4,2767900196
41,2,2768200250
47,4,7905200082
48,4,6632300244
50,4,3574300250
32,1,3204300510
41,2,5101404266
15,0,4077800215
14,1,3959401750
0,0,5145000020
110,7,2826049284
105,7,0952003855
0,0,7694210210
76,8,7658600039
24,0,8827900170
83,10,7883603770
91,3,2771601337
33,3,8585400065
53,1,9523100876
0,0,0217500070
154,14,7228500400
7,0,0123039441
16,3,5248800576
44,4,7905200077
45,0,0582000270
35,7,9272201310
156,2,1972202224
77,11,6382500047
16,1,2267000731
82,4,2767600299
31,0,0439000430
0,0,3649100183
74,14,1133000051
85,6,2767600303
0,0,0985001340
139,6,1454100013
0,0,8018600530
275,13,3043200108
44,4,7905200079
19,2,3034200160
152,30,3332500950
47,1,0823000090
0,0,3744600614
7,0,9319800105
78,5,7625703525
5,0,2056100155
48,4,7905200076
0,0,0284000170
59,2,8159100009
76,11,9412900038
70,3,6381501480
14,1,5652601030
0,0,3991400015
23,0,3352400532
68,3,3019300129
20,3,3157600550
282,22,2767604336
278,22,2767604335
0,0,7694200210
48,4,6373000092
186,11,0952005280
102,9,3004800185
2,0,4058801031
0,0,7774200035
9,0,1070000310
91,12,9418400180
38,2,5101404344
20,2,2115200075
65,9,5309100550
34,4,3034200745
91,10,8850000611
20,1,8820901285
0,0,9194102212
36,1,4443801645
33,1,7628700072
33,0,1250700015
0,0,3760500451
220,25,6145601655
0,0,3790000080
22,0,1118001690
3,0,2045800325
198,12,2767602947
29,3,3679400230
91,10,8850000610
13,0,3702900105
13,0,5249800070
3,0,6329000245
0,0,6620400200
153,12,9521101665
109,8,4240400015
316,16,1336300205
108,5,3814400060
19,2,8820903520
126,11,6184700060
88,4,3362900620
