"schoolyear","organizationlevel","county","esdname","esdorganizationid","districtcode","districtname","districtorganizationid","schoolcode","schoolname","schoolorganizationid","currentschooltype","studentgrouptype","studentgroup","gradelevel","test_administration_group","testadministration","testsubject","dat","count_of_students_expected","count_of_students_expected_1","count_consistent_grade_level_knowledge_and_above","percent_consistent_grade_level_knowledge_and_above","percentlevel1","percentlevel2","percentlevel3","percentlevel4","percent_met_tested_only","percent_no_score","percent_participation","percent_taking_alternative_assessment","count_foundational_grade","percent_foundational_grade","dataasof"
"2023-24","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","3825","Alpac Elementary School","101425","P","All","All Students","All Grades","SBAC","SBAC","ELA","None","291","291","137","47.10%","0.285223368","0.240549828","0.288659794","0.182130584","0.472413793","0.003436426","0.996563574","0","207","71.10%","1/24/2025"
"2023-24","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","3825","Alpac Elementary School","101425","P","All","All Students","All Grades","WCAS","WCAS","Science","None","97","97","51","52.60%","0.237113402","0.237113402","0.381443299","0.144329897","0.525773196","0","1","0","74","76.30%","1/24/2025"
"2023-24","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","3825","Alpac Elementary School","101425","P","All","All Students","All Grades","SBAC","SBAC","Math","None","291","291","147","50.50%","0.206185567","0.288659794","0.305841924","0.199312715","0.505154639","0","1","0","231","79.40%","1/24/2025"
"2023-24","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5082","Arthur Jacobsen Elementary","104336","P","All","All Students","All Grades","SBAC","SBAC","Math","None","163","163","56","34.40%","0.404907975","0.239263804","0.208588957","0.134969325","0.347826087","0.012269939","0.987730061","0.012422","95","58.30%","1/24/2025"
"2023-24","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5082","Arthur Jacobsen Elementary","104336","P","All","All Students","All Grades","WCAS","WCAS","Science","Cross OrganizatiON - N<10",,,,"36.20%","0.29787234","0.340425532","0.255319149","0.106382979","0.361702128","0","1","0",,"70.20%","1/24/2025"
"2023-24","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5082","Arthur Jacobsen Elementary","104336","P","All","All Students","All Grades","SBAC","SBAC","ELA","None","164","164","57","34.80%","0.414634146","0.231707317","0.207317073","0.140243902","0.349693252","0.006097561","0.993902439","0.012269","95","57.90%","1/24/2025"
"2023-24","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5037","Auburn Mountainview High School","104154","P","All","All Students","All Grades","SBAC","SBAC","ELA","None","365","365","196","53.70%","0.194520548","0.197260274","0.342465753","0.194520548","0.578171091","0.071232877","0.928767123","0.008849","268","73.40%","1/24/2025"
"2023-24","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5037","Auburn Mountainview High School","104154","P","All","All Students","All Grades","WCAS","WCAS","Science","None","367","367","159","43.30%","0.196185286","0.190735695","0.337874659","0.095367847","0.528239203","0.179836512","0.820163488","0.016611","229","62.40%","1/24/2025"
"2023-24","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5037","Auburn Mountainview High School","104154","P","All","All Students","All Grades","SBAC","SBAC","Math","None","376","376","54","14.40%","0.521276596","0.231382979","0.093085106","0.050531915","0.160237389","0.103723404","0.896276596","0.008902","141","37.50%","1/24/2025"
"2023-24","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5522","Auburn Opportunity Project","106153","R","All","All Students","All Grades","SBAC","SBAC","ELA","N<10",,,,"N<10",,,,,,,,,,"N<10","1/24/2025"
"2023-24","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5522","Auburn Opportunity Project","106153","R","All","All Students","All Grades","WCAS","WCAS","Science","<9%",,,,"<9%",,,,,,,,,,"<9%","1/24/2025"
"2023-24","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5522","Auburn Opportunity Project","106153","R","All","All Students","All Grades","SBAC","SBAC","Math","N<10",,,,"N<10",,,,,,,,,,"N<10","1/24/2025"
"2023-24","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","4474","Auburn Riverside High School","101432","P","All","All Students","All Grades","SBAC","SBAC","ELA","None","448","448","248","55.40%","0.191964286","0.216517857","0.305803571","0.247767857","0.575406032","0.037946429","0.962053571","0.00928","345","77.00%","1/24/2025"
"2023-24","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","4474","Auburn Riverside High School","101432","P","All","All Students","All Grades","SBAC","SBAC","Math","None","447","447","129","28.90%","0.494407159","0.167785235","0.185682327","0.102908277","0.303529412","0.049217002","0.950782998","0.009411","204","45.60%","1/24/2025"
"2023-24","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","4474","Auburn Riverside High School","101432","P","All","All Students","All Grades","WCAS","WCAS","Science","None","442","442","161","36.40%","0.214932127","0.237556561","0.305429864","0.058823529","0.44598338","0.183257919","0.816742081","0.01108","266","60.20%","1/24/2025"
"2023-24","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","2795","Auburn Senior High School","101417","P","All","All Students","All Grades","SBAC","SBAC","ELA","None","479","479","228","47.60%","0.237995825","0.208768267","0.313152401","0.162839248","0.515837104","0.077244259","0.922755741","0.004524","328","68.50%","1/24/2025"
"2023-24","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","2795","Auburn Senior High School","101417","P","All","All Students","All Grades","SBAC","SBAC","Math","None","481","481","70","14.60%","0.611226611","0.158004158","0.0997921","0.045738046","0.159090909","0.085239085","0.914760915","0.004545","146","30.40%","1/24/2025"
"2023-24","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","2795","Auburn Senior High School","101417","P","All","All Students","All Grades","WCAS","WCAS","Science","None","399","399","104","26.10%","0.303258145","0.20802005","0.20802005","0.052631579","0.337662338","0.228070175","0.771929825","0.00974","187","46.90%","1/24/2025"
"2023-24","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5610","Bowman Creek Elementary","106392","P","All","All Students","All Grades","SBAC","SBAC","Math","None","193","193","120","62.20%","0.186528497","0.176165803","0.264248705","0.357512953","0.631578947","0.015544041","0.984455959","0.015789","154","79.80%","1/24/2025"
"2023-24","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5610","Bowman Creek Elementary","106392","P","All","All Students","All Grades","WCAS","WCAS","Science","None","59","59","33","55.90%","0.186440678","0.237288136","0.406779661","0.152542373","0.568965517","0.016949153","0.983050847","0.017241","47","79.70%","1/24/2025"
"2023-24","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","5610","Bowman Creek Elementary","106392","P","All","All Students","All Grades","SBAC","SBAC","ELA","None","192","192","110","57.30%","0.208333333","0.203125","0.25","0.322916667","0.582010582","0.015625","0.984375","0.015873","149","77.60%","1/24/2025"
"2023-24","School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","2394","Cascade Middle School","101414","P","All","All Students","All Grades","SBAC","SBAC","ELA","None","863","863","297","34.40%","0.39976825","0.229432213","0.252607184","0.091541136","0.353571429","0.026651217","0.973348783","0.004761","495","57.40%","1/24/2025"
